file_name,name,dealer,type,how-to-earn,dealer-cosplay,fandom,days
Queen_Bee_Artistry_-_Vendor_Booth_-_Not_the_Bees!.png,Not the Bees!,Queen Bee Artistry - Vendor Booth,Achievement,Free with Any purchase at the booth,At the Artist Alley Booth,Wicker Man,"Friday, Saturday, Sunday"
Polites_-_Pancake_crew.jpg,Pancake crew,Polites,Exclusive,By interacting with my character,Red bandana and spear,Epic the musical,Saturday
srsbznss-Thomas_-_Phantom_Troupe.png,Phantom Troupe,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Hunter X Hunter cosplay
 - Show Thomas a picture you took (with permission) of someone in Hunter X Hunter cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Hunter X Hunter, such as Edward Bosco
 - Show Thomas Hunter X Hunter merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Hunter X Hunter,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
HorusCosplays_-_Plus-Size_Cosplayer_Supporter.jpg,Plus-Size Cosplayer Supporter,HorusCosplays,Connection,Just come up to me and say that you support plus-size cosplayers or ask about being a plus-size cosplayer and I’ll give you a fact about what it’s like being one and the ribbon,In my social media I post each cosplay I am in and also they can ask my mutuals “where’s Horus?” To find the ribbon,N/A,"Friday, Saturday, Sunday"
Professor_Shinobi_-_Post-Mending_Legendary_Creature.jpg,Post-Mending Legendary Creature,Professor Shinobi,Q&A,"Answer the following questions: Have you played Magic the Gathering? When did you start? If they say yes and after 2005, you will earn this badge ribbon.",Chairty Co-Head and frequent panelist,Magic: the Gathering,"Friday, Saturday, Sunday"
Professor_Shinobi_-_Pre-Mending_Legendary_Creature.jpg,Pre-Mending Legendary Creature,Professor Shinobi,Q&A,"Answer the following questions: Have you played Magic the Gathering? When did you start? If they say yes and before 2006, you will earn this badge ribbon.",Co-Head of Charity and frequent panelist,Magic: the Gathering,"Friday, Saturday, Sunday"
srsbznss-Thomas_-_Property_of_Ainz_Ooal_Gown.png,Property of Ainz Ooal Gown,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Overlord cosplay
 - Show Thomas a picture you took (with permission) of someone in Overlord cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Overlord
 - Show Thomas Overlord merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Overlord,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Pidge_-_Volunteers_-_Ribbon_Hoarder.jpg,Ribbon Hoarder,Pidge - Volunteers,Achievement,Have a certain amount of ribbons. Specific number changes each day.,"I work the Volunteer table, I have facial piercings.",N/A,"Friday, Saturday, Sunday"
srsbznss-Thomas_-_RWBY.png,RWBY,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in RWBY cosplay
 - Show Thomas a picture you took (with permission) of someone in RWBY cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest who voiced a member of Team RWBY, such as Lindsay Jones, Kara Eberle, Arryn Zech, or Barbara Dunkelman
 - Show Thomas merch of Team RWBY that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",RWBY,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Valentine_and_Leo_-_Seduce_the_Chimera.jpg,Seduce the Chimera,Valentine and Leo,Connection,Roll a D20 :),Falin and Marcille,Dungeon Meshi,Sunday
TaroDoesCosplay_-_Selunes_Blessing.jpg,Selúne's Blessing,TaroDoesCosplay,Q&A,Accept the Moon Maiden as your goddess 🙏,Find Isobel Thorm (bg3) on the con floor! (Saturday only),Baldur's Gate 3,Saturday
Winterra_Art_-_Servant_of_Evil.jpg,Servant of Evil,Winterra Art,Achievement,Free with purchases over $25 at Winterra Art’s Booth,Winterra Art’s Booth 41 (Corner) in Artist Alley,Vocaloid,"Friday, Saturday, Sunday"
srsbznss-Thomas_-_Set_Your_Heart_Ablaze.png,Set Your Heart Ablaze,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Kyojuro Rengoku cosplay
 - Show Thomas a picture you took (with permission) of someone in Kyojuro Rengoku cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced Kyojuro Rengoku, another Hashira, Tanjiro Kamado, Zenitsu Agatsuma, Inosuke Hashibira, or Gonpachiro Kamaboko from Demon Slayer
 - Show Thomas Kyojuro Rengoku merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Demon Slayer,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
srsbznss-Thomas_-_Shinzou_wo_Sasageyo.png,Shinzou wo Sasageyo,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Attack on Titan cosplay
 - Show Thomas a picture you took (with permission) of someone in Attack on Titan cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Attack on Titan
 - Show Thomas Attack on Titan merch that you've purchased (online photos don't count!)
 - Give Thomas your best Survey Corps. salute","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Attack on Titan,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Jason_Meyers_-_Side_Quest_Complete_.jpg,Side Quest Complete ,Jason Meyers,Achievement,Complete the Dungeons and Desserts side quest adventure Saturday Afternoon between 1pm-3pm,Dressed as a Honey Wizard,N/A,Saturday
srsbznss-Thomas_-_Sin_of_Pride.png,Sin of Pride,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Seven Deadly Sins cosplay
 - Show Thomas a picture you took (with permission) of someone in Seven Deadly Sins cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in the Seven Deadly Sins
 - Show Thomas Seven Deadly Sins merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Seven Deadly Sins,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
